,Aircraft Model,Empty Weight (kg),Maximum Takeoff Weight (kg),Maximum Landing Weight (kg),Center of Gravity Limits,Wing Loading (kg/m²),Tail Loading (kg/m²),Fuel Capacity (liters),Number of Passengers,Cargo Capacity (kg),Maximum Altitude (ft),Maximum Speed (knots),Engine Type,Fuselage Length (m)
0,Airbus A320,149968.1875,279525.091,255896.4903,25%-35% of MAC,818.5582815,124.7883637,52538.23617,472,80061.73229,44470,658,Turbofan,41.72681732
1,Boeing 777,140855.8799,145055.1739,143703.3146,15%-30% of MAC,366.4232301,111.7431821,298000.266,257,27118.72519,31739,495,Turbofan,54.4027989
2,Airbus A320,151024.5989,534343.948,270662.9043,20%-35% of MAC,829.1459026,138.6726953,176299.2546,172,1002.20911,24398,585,Turboprop,28.86408638
3,Airbus A320,180889.4548,815185.8413,183594.4872,15%-30% of MAC,290.845909,169.2494633,51211.63019,444,75726.08354,26793,632,Turboprop,46.11161087
4,Embraer E190,113855.1733,439094.3423,233683.8839,20%-35% of MAC,509.8489195,32.28288467,494662.5013,55,45268.32206,30982,663,Piston,80.39475331
5,Embraer E190,236729.1931,1138952.524,854298.181,25%-35% of MAC,543.2910913,20.33413865,357994.6,328,56178.04507,55066,554,Turbofan,69.43874346
6,Cessna 172,297983.7757,1272807.228,1126506.799,20%-35% of MAC,733.6174551,112.1976917,222825.2438,110,86748.17794,21373,516,Piston,74.32420348
7,Boeing 737-800,280603.8169,302206.5901,293754.9177,25%-35% of MAC,440.4242907,80.24987209,275771.9773,180,76348.12447,30947,608,Turbofan,44.52651819
8,Boeing 747-8,214038.9354,952097.8522,404837.3424,20%-40% of MAC,582.3973431,26.2213542,308066.435,319,26065.46814,39719,587,Turbofan,94.06838478
9,Airbus A320,154058.1324,755415.7124,599405.4119,20%-40% of MAC,471.4431547,181.5466329,95243.90456,88,45182.13507,46354,692,Piston,64.7847848
10,Boeing 737-800,41456.47965,72212.60005,42996.02083,35%-45% of MAC,872.7919916,182.3155498,393243.4085,485,14045.23865,23251,656,Turbofan,88.73681432
11,Embraer E190,2495.643038,5836.689349,4583.419962,20%-35% of MAC,718.5504794,32.8254781,182959.7908,404,44385.05869,42390,493,Turbofan,57.19027905
12,Boeing 777,9627.278893,44711.35301,22145.13165,35%-45% of MAC,936.1123489,166.9285374,313036.3665,82,28628.58947,31104,639,Turbofan,64.8263107
13,Gulfstream G650,271538.7516,1134083.407,828551.5823,20%-40% of MAC,585.2026587,48.56296734,382767.3254,155,84411.1449,39158,620,Turbofan,12.88370843
14,Boeing 747-8,263417.9527,1048978.328,278481.6546,20%-35% of MAC,814.8134552,175.3633559,332707.0031,62,40270.64197,48559,695,Piston,54.40970861
15,Embraer E190,260825.1733,848175.9953,536397.8951,20%-40% of MAC,608.4879315,180.0216308,288729.0678,280,42820.24334,58151,430,Piston,92.21629115
16,Boeing 777,61954.20922,255215.7507,63284.36341,15%-30% of MAC,787.9258961,99.44724238,194965.5736,280,24974.37118,54939,642,Piston,54.14448201
17,Boeing 747-8,56171.64918,150149.7402,86771.96083,20%-40% of MAC,989.8955306,147.9805314,369367.975,431,90585.61592,45947,677,Piston,75.1550669
18,Gulfstream G650,87328.65162,126282.6382,110600.7833,20%-40% of MAC,753.1757979,119.0284736,180647.849,485,57066.17252,37778,553,Piston,10.39357331
